Generation,TotalEnergy_J,AverageDelay_Hops,MinResidual_J
338,0.01835082929475032,1.55,1.9976796752144617
339,0.01835082929475032,1.55,1.9976796752144617
340,0.01835082929475032,1.55,1.9976796752144617
341,0.01835082929475032,1.55,1.9976796752144617
342,0.01835082929475032,1.55,1.9976796752144617
343,0.01835082929475032,1.55,1.9976796752144617
344,0.01835082929475032,1.55,1.9976796752144617
345,0.01835082929475032,1.55,1.9976796752144617
346,0.01835082929475032,1.55,1.9976796752144617
347,0.01835082929475032,1.55,1.9976796752144617
348,0.01835082929475032,1.55,1.9976796752144617
349,0.01835082929475032,1.55,1.9976796752144617
350,0.01835082929475032,1.55,1.9976796752144617
351,0.01835082929475032,1.55,1.9976796752144617
352,0.01835082929475032,1.55,1.9976796752144617
353,0.01835082929475032,1.55,1.9976796752144617
354,0.01835082929475032,1.55,1.9976796752144617
355,0.01835082929475032,1.55,1.9976796752144617
356,0.01835082929475032,1.55,1.9976796752144617
357,0.01835082929475032,1.55,1.9976796752144617
358,0.01835082929475032,1.55,1.9976796752144617
359,0.01835082929475032,1.55,1.9976796752144617
360,0.01835082929475032,1.55,1.9976796752144617
361,0.01835082929475032,1.55,1.9976796752144617
362,0.01835082929475032,1.55,1.9976796752144617
363,0.01835082929475032,1.55,1.9976796752144617
364,0.01835082929475032,1.55,1.9976796752144617
365,0.01835082929475032,1.55,1.9976796752144617
366,0.01835082929475032,1.55,1.9976796752144617
367,0.01835082929475032,1.55,1.9976796752144617
368,0.01835082929475032,1.55,1.9976796752144617
369,0.01835082929475032,1.55,1.9976796752144617
370,0.01835082929475032,1.55,1.9976796752144617
371,0.01835082929475032,1.55,1.9976796752144617
372,0.01835082929475032,1.55,1.9976796752144617
373,0.01835082929475032,1.55,1.9976796752144617
374,0.01835082929475032,1.55,1.9976796752144617
375,0.01835082929475032,1.55,1.9976796752144617
376,0.01835082929475032,1.55,1.9976796752144617
377,0.01835082929475032,1.55,1.9976796752144617
378,0.01835082929475032,1.55,1.9976796752144617
379,0.01835082929475032,1.55,1.9976796752144617
380,0.01835082929475032,1.55,1.9976796752144617
381,0.01835082929475032,1.55,1.9976796752144617
382,0.01835082929475032,1.55,1.9976796752144617
383,0.01835082929475032,1.55,1.9976796752144617
384,0.01835082929475032,1.55,1.9976796752144617
385,0.01835082929475032,1.55,1.9976796752144617
386,0.01835082929475032,1.55,1.9976796752144617
