Generation,MaxFitness,AvgFitness,Diversity,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
203,0.8721995648793488,0.8718669893466123,0.32503703703703707,0.020688774003633337,1.6908333333333332,1.997259357216934
204,0.8721995648793488,0.8719039069412128,0.2946060606060606,0.020688774003633337,1.6908333333333332,1.997259357216934
205,0.8721995648793488,0.8719077556364937,0.28996632996633004,0.020688774003633337,1.6908333333333332,1.997259357216934
206,0.8721995648793488,0.8718838328082417,0.30669360269360274,0.020688774003633337,1.6908333333333332,1.997259357216934
207,0.8721995648793488,0.8718405588709068,0.3091447811447811,0.020688774003633337,1.6908333333333332,1.997259357216934
208,0.8721995648793488,0.8718814149633174,0.3139797979797979,0.020688774003633337,1.6908333333333332,1.997259357216934
209,0.8721995648793488,0.8718799142270278,0.3304377104377104,0.020688774003633337,1.6908333333333332,1.997259357216934
210,0.8721995648793488,0.8718699022297434,0.32978451178451174,0.020688774003633337,1.6908333333333332,1.997259357216934
211,0.8721995648793488,0.871854489815972,0.3184713804713805,0.020688774003633337,1.6908333333333332,1.997259357216934
212,0.8721995648793488,0.8718778579311518,0.3210572390572391,0.020688774003633337,1.6908333333333332,1.997259357216934
213,0.8721995648793488,0.8718818765773492,0.3163703703703703,0.020688774003633337,1.6908333333333332,1.997259357216934
214,0.8721995648793488,0.8719023172606142,0.28387878787878784,0.020688774003633337,1.6908333333333332,1.997259357216934
215,0.8721995648793488,0.8718168768184925,0.33696296296296296,0.020688774003633337,1.6908333333333332,1.997259357216934
216,0.8721995648793488,0.8718135374125091,0.3442558922558923,0.020688774003633337,1.6908333333333332,1.997259357216934
217,0.8721995648793488,0.8718926393767623,0.2925993265993266,0.020688774003633337,1.6908333333333332,1.997259357216934
218,0.8721995648793488,0.8718520393668105,0.3146397306397306,0.020688774003633337,1.6908333333333332,1.997259357216934
219,0.8721995648793488,0.8718739084142525,0.31389898989898996,0.020688774003633337,1.6908333333333332,1.997259357216934
220,0.8721995648793488,0.8718633181933996,0.32650505050505046,0.020688774003633337,1.6908333333333332,1.997259357216934
221,0.8721995648793488,0.8718432118526903,0.315050505050505,0.020688774003633337,1.6908333333333332,1.997259357216934
222,0.8721995648793488,0.8719168707656105,0.2932592592592593,0.020688774003633337,1.6908333333333332,1.997259357216934
223,0.8721995648793488,0.8719066786964015,0.3091784511784511,0.020688774003633337,1.6908333333333332,1.997259357216934
224,0.8721995648793488,0.8718675656925202,0.32842424242424245,0.020688774003633337,1.6908333333333332,1.997259357216934
225,0.8721995648793488,0.8718631744917505,0.3140067340067341,0.020688774003633337,1.6908333333333332,1.997259357216934
226,0.8721995648793488,0.871867337030383,0.3124848484848485,0.020688774003633337,1.6908333333333332,1.997259357216934
227,0.8721995648793488,0.8718696327143183,0.30396632996632994,0.020688774003633337,1.6908333333333332,1.997259357216934
228,0.8721995648793488,0.8718536748359093,0.3212121212121212,0.020688774003633337,1.6908333333333332,1.997259357216934
229,0.8721995648793488,0.8718775099382395,0.3191245791245791,0.020688774003633337,1.6908333333333332,1.997259357216934
230,0.8721995648793488,0.871907232769828,0.28651851851851856,0.020688774003633337,1.6908333333333332,1.997259357216934
231,0.8721995648793488,0.8718840756548424,0.31316498316498315,0.020688774003633337,1.6908333333333332,1.997259357216934
232,0.8721995648793488,0.871850477011829,0.32455892255892255,0.020688774003633337,1.6908333333333332,1.997259357216934
233,0.8721995648793488,0.8718571111212388,0.3125589225589226,0.020688774003633337,1.6908333333333332,1.997259357216934
234,0.8721995648793488,0.8718785983487722,0.3124579124579125,0.020688774003633337,1.6908333333333332,1.997259357216934
235,0.8721995648793488,0.8718890971541661,0.2945723905723906,0.020688774003633337,1.6908333333333332,1.997259357216934
236,0.8721995648793488,0.8718985440412066,0.33692255892255896,0.020688774003633337,1.6908333333333332,1.997259357216934
237,0.8721995648793488,0.8718484148974552,0.3283838383838383,0.020688774003633337,1.6908333333333332,1.997259357216934
238,0.8721995648793488,0.8718487146474475,0.33302356902356905,0.020688774003633337,1.6908333333333332,1.997259357216934
239,0.8721995648793488,0.8718904116177616,0.31113804713804716,0.020688774003633337,1.6908333333333332,1.997259357216934
240,0.8721995648793488,0.8718831687607403,0.3018653198653198,0.020688774003633337,1.6908333333333332,1.997259357216934
241,0.8721995648793488,0.8718392674299142,0.3139663299663299,0.020688774003633337,1.6908333333333332,1.997259357216934
242,0.8721995648793488,0.8718747442159506,0.3184646464646465,0.020688774003633337,1.6908333333333332,1.997259357216934
243,0.8721995648793488,0.8718706169213826,0.31969696969696976,0.020688774003633337,1.6908333333333332,1.997259357216934
244,0.8721995648793488,0.8718818726628299,0.3072525252525253,0.020688774003633337,1.6908333333333332,1.997259357216934
245,0.8721995648793488,0.8718613941202972,0.30857239057239055,0.020688774003633337,1.6908333333333332,1.997259357216934
246,0.8721995648793488,0.8718808783483725,0.31839730639730646,0.020688774003633337,1.6908333333333332,1.997259357216934
247,0.8721995648793488,0.8718617846447442,0.31967676767676767,0.020688774003633337,1.6908333333333332,1.997259357216934
248,0.8721995648793488,0.8719065133371935,0.287986531986532,0.020688774003633337,1.6908333333333332,1.997259357216934
